,fuel,make,odometer,price,title status,transmission,VIN,condition,drive,paint color,type,cylinders,size,price_num
203, gas,2016 honda accord, 1,"$20,900", clean, automatic,,,,,,,,20900
204, gas,2018 honda civic LX sedan, 64000,"$15,000", rebuilt, automatic, 2HGFC2F56JH007355, like new, fwd, grey, sedan, 4 cylinders, compact,15000
205, gas,2002 lexus sc 430 convertible, 129179,"$10,800", clean, automatic,, excellent, rwd, silver, convertible, 8 cylinders,,10800
206, gas,2018 Honda Civic SE sedan, 37000,"$16,500", rebuilt, automatic, 2HGFC2F69JH032355, excellent, fwd, grey, sedan, 4 cylinders, compact,16500
207, gas,2018 honda civic si sedan, 17000,"$19,500", rebuilt, manual, 2HGFC1E56JH200620, like new, fwd, white, sedan, 4 cylinders, compact,19500
208, gas,2005 mercedes-benz c230 kompressor, 154000,"$4,500", clean, automatic,, excellent, rwd,, sedan, 4 cylinders,,4500
209, gas,2012 ford f-150, 140000,"$29,000", clean, automatic,, excellent, 4wd, white, pickup, 6 cylinders, full-size,29000
210, gas,2017 nissan rogue, 57000,"$23,999", clean, automatic,, like new, 4wd, blue, SUV, 4 cylinders, full-size,23999
211, gas,2003 toyota highlander, 142965,"$8,500", clean, automatic,, excellent, 4wd, silver, SUV, 6 cylinders, mid-size,8500
212, gas,2015 bmw 750li xdrive, 59800,"$33,800", clean, automatic, WBAYF8C54FD655400, good, 4wd, blue, sedan, 8 cylinders, full-size,33800
213, gas,2010 Chevrolet Equinox LT, 187000,"$8,000", clean, automatic,, excellent, fwd, silver, SUV, 4 cylinders, full-size,8000
214, gas,1994 lexus ls 400, 154000,"$5,800", clean, automatic,, excellent, rwd, green,, 8 cylinders, full-size,5800
215, gas,2014 cadillac ats, 56000,"$18,000", clean, automatic,, excellent, rwd, custom, convertible, 6 cylinders, compact,18000
216, gas,2004 Toyota Crown Athlete Lexus GS, 109000,"$8,900", clean, automatic,, like new, rwd, black, sedan, 6 cylinders, full-size,8900
217, gas,2012 vw jetta gli, 120000,"$13,000", clean, manual,, excellent, fwd, white, sedan, 4 cylinders, full-size,13000
